,document,score,label
57,탈주 액션 하나는 볼만하다,7,1
58,내가 황정민이였음 이런 후진영화 계약안했다,1,0
59,진심 노잼,1,0
60,나름 흥미 위주의 전개 였다고 판단되지만 좀더 심리적으로 치밀한 구성이 아쉽다고나 할까?,8,1
61,드루와! ? 감독 제정신이야?  쪽팔린 줄 알아야지!  오마주도 아니고!  그냥 묻어가기지 이게 뭐야!,1,0
62,지겝,1,0
63,"아니 여기 댓글 알바 왤케 많은거야,,, 보시면 알게 될껍니다. 시사회 보고왔는데 장담컨대 2021년에 나온 영화 중 가장 긴장감 넘치고 스릴 넘친 영화가 아닌가 싶습니다.",10,1
64,배우 황정민씨의 자전적인 영화 같네요. 황정민x류승완은 송강호x봉준호와 같다는거 기억하시죠?,10,1
65,"악역이 너무 억지스럽고, 오버스러움. 그 어색함에 황정민 연기마저도 어색할 지경... 그나마 황정민 아니였음 중간에 나올뻔했다...",6,1
66,한국 경찰의 무능함을 보여주는 영화!!,10,1
67,재밌네,8,1
68,영화 잘 나왔다.,9,1
69,"싱크홀 보다 10배는 재밌고,,,모가디슈보다 어떤면에서는 잼나다...암튼 요즘들어 본 영화중 젤 재밌었음...",10,1
70,너무 기대돼요~,10,1
71,너무 기대되는 영화라 얼른 보고 싶어요!!!,10,1
72,너무 보고싶어요,10,1
73,드루와 드루와 한번만 해주세요 ㅎ 기대된다,10,1
74,너무 보고싶어요,10,1
75,2021년 최고의 인질 영화!! 정말 보고 싶어요. 주인공이 황정민으로 대표되는 최고의 범죄 영화!!!,10,1
76,비포장도로를 전속력으로 질주하는 느낌,10,1
77,전 재밌게 봤네요~~처음은 넘 잔인하고 끔직했지만... 인질..일찍 인질이 되어버린 스토리가 무슨  스토리로  전개될까  기대안하며  봤는데...지루하지않게 시간가는줄 모르고  배우들의 연기력도   좋고 전 잘봤습니다 ~~ 황정민 역시  믿고  봅니다~~최고👍,10,1
78,코로나로 인해 극장을 찾는 게 어려운 시기이지만 황정민 배우 주연 영화이기에 고민하지 않고 관람하였습니다. 역시나 황정민 배우구나.. 시간 가는 줄 모르고 관람하였습니다. 영화 인질로 인해 극장가의 활성화를 기대해 봅니다.,10,1
79,평점때문에 안 보려고 했는데… 엄청 재밌었음,10,1
80,킬링타임으로 좋은 영화...,9,1
81,부라더 함부로 건드리면 안되야.,7,1
82,역시 황정민  조연들 연기가   소름 쵝오,10,1
83,극도의 공포상황에서 주인공의 기지와 액션저항이 눈부시다 !   엔딩곡 The  Passenger ~  관람의 긴장감을  덜어준다.^^,8,1
84,다만악처럼만 연기해다오,10,1
85,.,10,1
86,예고편 나와봐야 알겠지만. 믿고보는 배우 10점주고 갑니다 ~~,10,1
87,너무 보고싶습니다ㅠㅠ,10,1
88,정민이 형님 ㅈㅅ합니다 아직 극장에서는 안봤지만.  예고편 도 보고. 영화소개 프로에서도보고 했는대 . 원작의 유덕화 포스보단 안되는듯하네요.,5,0
89,빨리 개봉했으면 좋겠습니다 보러가야지,10,1
90,잼휬겠다..,10,1
91,황정민 배우님 사랑하면 보세요 더욱 더 사랑합니다♡ 흥해랏!! 실제가 아니라 연기가 맞겠지..? 할정도로 너무나 멋있습니다ㅠㅠ 맞을때 진짜  화나서 욕이;;  감히 배우님을!!,10,1
92,믿고보는 배우~ 재미있을수 밖에 없다.,10,1
93,영화가 주는 몰입도와 긴장감에 영화 보는 내내 몸에 힘이 들어간 상태로 관람했네요 ^^;; 황정민은 역시 황정민이었고 상대하는 악역 배우들의 연기도 아주 인상적이었습니다.,9,1
94,너무 잔인해서 1점 없앰.. 근데 황정민이 다 한 영화.. 지루할틈 없었오,9,1
95,재미있어여,10,1
96,재밌게 잘 봤습니다,8,1
97,잼나다,10,1
98,"기대를 별로 안하고  극장에 갔는데, 생각보다 재미있었다. 개인적으로는 모가디슈보다 재밌게 본듯.. 황정민 영화의 맛이 그대로 묻어나는 영화..",8,1
99,몰입해서 봤네요. 천만배우가 괜히 천만배우가 아니네요,10,1
100,초반의 스릴은 경찰 개입 이후 퀄리티가 떨어지고 오직 황정민 이라는 배우의 힘으로 끌고 가내요,8,1
101,"요즘 한국영화 왜 이렇게 못만들까요? 방금 영화소개 프로에서 인질을 잠시 봐도 작품성, 스토리, 연출, 개연성 엉망이네요.. 요즘 우리나라 너무 대기업 상영관과 영화제작사가 독점돼 있으니 독립영화도 못한 형편없는 영화만 제작하니 요즘 영화가 이 모양 이 꼴... 황정민 배우마저 망작의 피해자가 되버렸네요...",1,0
102,황정민 나오는 영화 빨리 보고 싶어요,10,1
103,러닝 타임이 짧아서 아쉽네요.. 110분~120분정도였으면 좋았을 것을 ㅠㅠ 하지만 빨리 보고싶네요!!,10,1
104,"노땅 홍준표도 안다. 황정민이 연기못한다는 사실을. 베테랑에서 유아인이 훨 낫다했음. 김기덕 감독도 말했다. 화난, 쎈 연기가 가장 쉽다고. 황정민, 하정우 재평가 들어가야한다. 배우들이라면 뭔가 카리스마가 있어야지. 농삿꾼들이냐? 송강호도 마찬가지.",1,0
105,방금 보고왔다 악당 두목의 연기가 아쉽지만 황정민  존재 하나로 전부 커버된다 뻔한 스토리가 아니여서 좋았다 후반의 반전은 놀라웠다 몰입감 최고. 군더더기 없었고. 곁가지 없어서 깔끔했다 한국영화 특유의 신파나 진부함도 없어서 더 몰입해서 보게됐다 출연진 빵빵한 모가디스와  황정민 원톱의 인질 둘중에 뭘 볼까 망설었는데  이 영화 선택한걸 칭찬한다,9,1
106,.,8,1
107,영화 보는 내내 몰아치는 긴장감에 숨돌릴 새가 없다. 특히 중간에 카체이싱 장면하고 숲 탈주씬이 완전 압권!! 정말 잼나요. 강추합니다~~,10,1
108,황정민이 황정민 했다,10,1
109,"맨 마지막에 PTSD 오고, 표정 굳는거 보니 2편제작각임",9,1
110,영화 보는 내내 빈틈이 없었다는 느낌을 받았다  아 이래서 황정민 황정민 하는 구나~  오랜만에 시간가는 줄 모르고 재밌게 잘 본듯 하다~  댓글에 비난 하는 분들 영화나 좀 보고 오지 그래요? 이번 영화에 황정민이 나오는 듯하고 똑같다?  영화 설정상 배우 황정민이 나오는데 당연한거 아님? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,10,1
111,영화 인질     액션이 볼만하다.  자동차 액션  총질 액션  난투극 액션  그리고 잔인한 피의 액션     범죄영화에 감초는 경찰이다.  영화에서 범죄현장에 출동하는 경찰은 항상 싸이렌을 요란하게 울리고 경광등을 유별나게 번쩍거리며 간다.  이건 순전히 관객의 시각효과 청각효과를 극대화 하기위한 것이다.  그러나 현실은 이 모든 걸 끄고 은밀히 그리고 신속하게 접근한다는 것이다.     영화는 8~90%가 허구다.  역사물이나 현대사물도 그 줄기 바탕을 깔고 있지만 내용은 허무맹랑한 거짓이다.  그 중 대표적인 영화가 5. 18관련 영화다.     그러나 멍청한 국민은 영화 속의 내용을 사실로 믿는 미개인이 많다. 대한민국의 가장 미개한 세대는 지금 40대다.,8,1
112,나만죽을수 웁따~~!!!  겁나 재밌슴 얼렁가서 보삼^^,9,1
113,여기 평점  남기는  사람들.. 영화 보고 글 남기는건지? 얼마전 ㄴ***통해 본인 이름으로 공개한 영화 평점이 7.4 인데.. 이 영화 7.1 이라니..  이 영화 재밌습니다. 모가디슈 봤는데.. 모가디슈보다 훨 낫습니다. 충분히 그럴수 있는 상황을 영화로 잘 표현했습니다. 연예인들.. 여러가지로 표적이 될수 있겠다는 생각이 드네요. 온라인. 오프라인 구분없이..  모두 어려운때입니다. 힘내세요 황정민 배우님.. 홧팅입니다.,10,1
114,강추 안보면 후회 ㅋ,10,1
115,영화 안본 사람들 왤케 많음... 이건 황정민의 넥스트레벨이다 알겠냐...?,10,1
116,긴장감 쫄깃함 최고고 황정민 연기 쩜 재밌음,10,1
117,정민이형 이제 그만 쉬어. 발성도 똑같고 인물묘사도 예전같지않아요. 일일드라마보는듯하고 과소비한 배우로 보임. 충전좀 하세용,1,0
118,언제나 똑같은 설경구 황정민 송강호 기타노다케시 등등 좀 최민식 이병헌처럼 해봐.. 니들 영활보면 무슨 연속극 시리즈물 같아. 목소리 표정부터 똑같다.,2,0
